"","year","births","caesarian"
"1",1970,4032,127
"2",1971,4275,149
"3",1972,4689,158
"4",1973,4595,127
"5",1974,4275,194
"6",1975,4369,209
"7",1976,4293,233
"8",1977,3982,270
"9",1978,4147,286
"10",1979,4454,343
"11",1980,4510,335
"12",1981,4323,445
"13",1982,4313,438
"14",1983,4330,495
"15",1984,4066,450
"16",1985,3796,435
"17",1986,3853,459
"18",1987,4151,556
"19",1988,4611,565
"20",1989,4501,530
"21",1990,4752,572
"22",1991,4496,530
"23",1992,4578,621
"24",1993,4578,608
"25",1994,4391,621
"26",1995,4227,610
"27",1996,4292,675
"28",1997,4091,628
"29",1998,4143,629
"30",1999,4054,675
"31",2000,4269,727
"32",2001,4043,652
"33",2002,3977,663
"34",2003,4080,703
"35",2004,4188,655
"36",2005,4241,668
"37",2006,4344,761
"38",2007,4498,772
"39",2008,4783,784
"40",2009,4939,813
"41",2010,4834,704
"42",2011,4421,661
"43",2012,4450,686
"44",2013,4235,655
"45",2014,4292,669
"46",2015,4025,656
"47",2016,3968,678
"48",2017,4019,652
"49",2018,4162,672
"50",2019,4379,709
"51",2020,4455,719
